a,b,c,d,e,f,g,h,out
0.04674247,0.075047648,0.179822209,0.181429963,0.149506695,0.210310518,0.010700831,0.080926092,FALSE
0.240873058,0.098792227,0.035246384,0.06483869,0.286534837,0.132982448,0.112824055,0.859177717,TRUE
0.276947947,0.011745778,0.094677896,0.26097186,0.087023026,0.222028008,0.947505844,0.212210734,TRUE
0.131745791,0.102553541,0.216185346,0.128213686,0.147949776,0.257139575,0.938365712,0.9515026,FALSE
0.209564875,0.278637101,0.065418825,0.208587943,0.194493513,0.751178319,0.160469498,0.132996802,TRUE
0.096751458,0.106809228,0.018639582,0.100814908,0.243070644,0.893280446,0.218925878,0.817018402,FALSE
0.199801014,0.088970439,0.052605604,0.064727571,0.009501724,0.847612831,0.91270476,0.090372816,FALSE
0.027812043,0.277084876,0.127314573,0.128493219,0.056189292,0.751402678,0.940793025,0.997288169,TRUE
0.181969368,0.157807547,0.03592419,0.283127729,0.749143918,0.255061076,0.074182755,0.000719484,TRUE
0.013521055,0.015939002,0.16410899,0.165581364,0.772005826,0.109112017,0.261919176,0.761602971,FALSE
0.036482617,0.045860691,0.07487007,0.078115747,0.812333615,0.208493172,0.954719794,0.104782972,FALSE
0.267677491,0.290938446,0.186392291,0.164440283,0.810694027,0.175258256,0.741879408,0.970787085,TRUE
0.015571952,0.296305157,0.155991641,0.193626321,0.977212421,0.803417552,0.278742419,0.035915998,FALSE
0.126684438,0.156477641,0.074886022,0.218173892,0.710670537,0.702054092,0.169710117,0.749305767,TRUE
0.074060964,0.020361746,0.086107581,0.125269356,0.842223422,0.95926209,0.831597418,0.100221157,TRUE
0.212988833,0.047913452,0.053431833,0.299670094,0.871043503,0.9355801,0.854543339,0.721537272,FALSE
0.181559059,0.13000085,0.062211295,0.789497938,0.159863059,0.254549948,0.021432659,0.240308699,TRUE
0.242314219,0.218508923,0.049023654,0.926809459,0.07422573,0.22231441,0.205903552,0.751444605,FALSE
0.067369226,0.079336258,0.106679116,0.807993783,0.182840612,0.059631109,0.946708644,0.178246702,FALSE
0.036005038,0.126151302,0.107038309,0.978464241,0.241820933,0.135940185,0.919789191,0.888608756,TRUE
0.209049107,0.157473989,0.032807099,0.738676442,0.147914913,0.99245545,0.257875487,0.209969676,FALSE
0.214162954,0.090152935,0.215035581,0.867011879,0.286162709,0.962984854,0.151866315,0.914620244,TRUE
0.232982071,0.082750074,0.22960716,0.910765324,0.090028249,0.702549951,0.717822777,0.254794028,TRUE
0.187971711,0.120624537,0.000273505,0.782830108,0.249631374,0.726992909,0.762573568,0.991798973,FALSE
0.051597196,0.243732457,0.078347092,0.959755571,0.813954407,0.069873681,0.085494439,0.184464697,FALSE
0.281168487,0.280187471,0.043229949,0.841300492,0.910611207,0.2008871,0.095725181,0.811244423,TRUE
0.259479721,0.073672649,0.261260375,0.772806723,0.950335005,0.199996303,0.77041585,0.17963571,TRUE
0.060639564,0.035625368,0.011286865,0.702767986,0.93228624,0.161652471,0.862773052,0.957769754,FALSE
0.006412614,0.158801032,0.28453435,0.902455746,0.734865362,0.76823917,0.203676851,0.293899176,TRUE
0.040442218,0.04870378,0.007846897,0.847123619,0.985076671,0.710957567,0.021810635,0.979318435,FALSE
0.171182609,0.280211099,0.051234941,0.873531581,0.748940007,0.75655426,0.854364606,0.095209439,FALSE
0.263112897,0.054298948,0.089950243,0.909708177,0.710289403,0.957321549,0.86957515,0.794790047,TRUE
0.299704801,0.03149122,0.987228398,0.15418685,0.077145927,0.039725837,0.074637902,0.10148156,TRUE
0.013201186,0.02609331,0.939608132,0.153765159,0.29346023,0.128332041,0.149956951,0.923141223,FALSE
0.03600426,0.110249171,0.917023209,0.233131028,0.147955802,0.210654098,0.783890167,0.263286979,FALSE
0.152107272,0.179083503,0.80258652,0.106896988,0.153915018,0.169339745,0.874053197,0.918875141,TRUE
0.088212564,0.211543681,0.77245507,0.269995781,0.275827818,0.899127603,0.007735375,0.085325752,FALSE
0.072349226,0.116463437,0.919480857,0.279581246,0.005982825,0.815148714,0.188959365,0.715674372,TRUE
0.118273992,0.120236575,0.876392108,0.180099495,0.048137806,0.771692668,0.920047961,0.177713209,TRUE
0.292165664,0.127523435,0.760997813,0.024013307,0.07808969,0.746902133,0.96593445,0.724848459,FALSE
0.156311352,0.032960432,0.872994365,0.225752975,0.862304668,0.092813843,0.020614976,0.026466745,FALSE
0.12501015,0.293818235,0.876889449,0.140476277,0.75233022,0.19995941,0.011661825,0.789549276,TRUE
0.207766053,0.184860129,0.987279122,0.264458715,0.84086781,0.029297481,0.74191772,0.232399273,TRUE
0.059184713,0.119132951,0.838394817,0.11829979,0.73150222,0.010260255,0.815577376,0.982534633,FALSE
0.121486948,0.14827096,0.841699651,0.242131081,0.996579922,0.884752718,0.143770141,0.260878068,TRUE
0.107214907,0.128307192,0.991585778,0.153070128,0.737253228,0.705633103,0.114105002,0.842284726,FALSE
0.159360993,0.265439658,0.954883034,0.039590322,0.701228211,0.881779957,0.917958941,0.232154923,FALSE
0.098054167,0.225492884,0.741792502,0.06622452,0.814096705,0.966969208,0.735501153,0.901391009,TRUE
0.077573549,0.132280872,0.897955122,0.859380382,0.136467816,0.190959803,0.151090741,0.254952408,FALSE
0.007692035,0.230873954,0.704219589,0.748520126,0.219202816,0.110080178,0.018075372,0.889033967,TRUE
0.155128263,0.223774102,0.803354883,0.876466047,0.195830695,0.186836914,0.780938534,0.215978187,TRUE
0.113105455,0.140722336,0.799009617,0.914630265,0.125419172,0.186384638,0.798289595,0.836098125,FALSE
0.183868816,0.163382398,0.844623642,0.773915703,0.145051431,0.780569023,0.208295482,0.164536944,TRUE
0.0350653,0.272010033,0.938926076,0.759814616,0.261713445,0.934688056,0.011666407,0.921198691,FALSE
0.199465514,0.105216694,0.890596927,0.831082898,0.276090382,0.998970399,0.833142904,0.042355073,FALSE
0.281080771,0.016818867,0.763281887,0.884878961,0.167607176,0.804995107,0.764812356,0.976497671,TRUE
0.242063658,0.193064033,0.84383496,0.925881374,0.751523969,0.037806525,0.196194903,0.102146275,TRUE
0.262565272,0.117476063,0.910717733,0.833774289,0.829741699,0.133228927,0.142560145,0.999071888,FALSE
0.204959116,0.241032416,0.725031673,0.867285494,0.988650635,0.034918443,0.87601488,0.18983906,FALSE
0.277650079,0.143607026,0.788979245,0.97007467,0.84207196,0.090535234,0.742020153,0.924427975,TRUE
0.248642135,0.231842567,0.83681961,0.771800758,0.720675119,0.744175271,0.207866156,0.253632673,FALSE
0.254371051,0.099300138,0.920396813,0.895966671,0.737596909,0.721563438,0.242428781,0.936610583,TRUE
0.117066315,0.078579966,0.967510169,0.738879489,0.986022574,0.827430083,0.872685624,0.133589032,TRUE
0.167862042,0.118243102,0.952973465,0.703484087,0.706183189,0.881224018,0.880716317,0.716431553,FALSE
6.36438E-05,0.882853734,0.192017977,0.19919725,0.267447883,0.101820302,0.288588454,0.030880223,TRUE
0.105294315,0.739623696,0.251489067,0.106551748,0.150675511,0.293951338,0.263941009,0.811526257,FALSE
0.278809124,0.978943008,0.252623307,0.262960683,0.124805749,0.058409309,0.772297243,0.110311719,FALSE
0.021893804,0.979706493,0.269318437,0.038703896,0.160816054,0.026444218,0.759083754,0.813421832,TRUE
0.19120419,0.833969272,0.069018247,0.080135005,0.212535613,0.791115571,0.09049601,0.038731918,FALSE
0.106358987,0.755361436,0.094482404,0.231108948,0.050215075,0.734201364,0.133786575,0.802286687,TRUE
0.045619799,0.798334738,0.229090581,0.160468087,0.22277846,0.778040513,0.874704203,0.122827662,TRUE
0.226654891,0.79839663,0.155292003,0.040641982,0.142174635,0.858529498,0.985461812,0.752989332,FALSE
0.17131093,0.893123017,0.128275695,0.292496675,0.934005826,0.005995269,0.051700231,0.246920843,FALSE
0.106867712,0.867022589,0.265088372,0.259723513,0.813297649,0.157959864,0.118405205,0.931589128,TRUE
0.215526427,0.718531773,0.065878501,0.11284094,0.999052655,0.240358856,0.722886773,0.157556581,TRUE
0.01166058,0.992071921,0.056113224,0.139456853,0.817042086,0.02851969,0.977206913,0.85675901,FALSE
0.073843998,0.902891872,0.086161812,0.258735808,0.996948747,0.766022201,0.025803621,0.295290026,TRUE
0.02522741,0.73315845,0.062686774,0.153668009,0.770986993,0.736377666,0.158262709,0.920388381,FALSE
0.111137484,0.965854428,0.143717568,0.178872329,0.844934746,0.984030601,0.962573651,0.267571037,FALSE
0.03594106,0.891557275,0.267854053,0.077455645,0.801029616,0.743053702,0.89933522,0.999368687,TRUE
0.18237153,0.965588349,0.005015848,0.860172676,0.133064271,0.191280539,0.100369448,0.027620513,FALSE
0.2200581,0.724898655,0.254036958,0.846689413,0.218524341,0.255350548,0.088753624,0.842112159,TRUE
0.018806013,0.864862968,0.230544957,0.800940384,0.087139466,0.200130868,0.752625859,0.250793129,TRUE
0.010490958,0.724960738,0.045665144,0.953990896,0.073714418,0.028281663,0.955626446,0.955289674,FALSE
0.265826841,0.911447096,0.040953852,0.728472754,0.140099421,0.758207912,0.272624699,0.284925421,TRUE
0.27681878,0.716633484,0.149102388,0.834679922,0.290645348,0.862751005,0.094667981,0.879415071,FALSE
0.074409843,0.864019801,0.067120068,0.716949836,0.180561602,0.707590877,0.987125562,0.175466083,FALSE
0.119044563,0.849824918,0.151828841,0.939688445,0.187610258,0.774253735,0.851981149,0.910785838,TRUE
0.077544137,0.951824857,0.034825694,0.753319235,0.775307876,0.113363608,0.047056353,0.033237378,TRUE
0.010606823,0.932190276,0.235695891,0.993300112,0.961020097,0.149140369,0.185638579,0.805483388,FALSE
0.066785985,0.993148461,0.24021252,0.967860139,0.853917594,0.148579983,0.918571322,0.024293632,FALSE
0.044078018,0.965304026,0.009497584,0.778488787,0.765851539,0.015516913,0.970406269,0.96847669,TRUE
0.21657041,0.750008924,0.159280251,0.761531307,0.90261979,0.950499,0.002062914,0.256999415,FALSE
0.143271365,0.777782204,0.086913463,0.989730621,0.934647826,0.97330366,0.02052669,0.779447185,TRUE
0.164831949,0.955348712,0.023913974,0.993645765,0.851760983,0.931538356,0.830114468,0.158688951,TRUE
0.283547754,0.756928594,0.27356669,0.775636979,0.712887444,0.755963722,0.893483995,0.780706939,FALSE
0.248761581,0.861550254,0.989990302,0.170555849,0.136595065,0.007011128,0.195357029,0.187813369,FALSE
0.005674815,0.836483378,0.885847553,0.165872155,0.044141188,0.194303631,0.250739001,0.9247951,TRUE
0.098061492,0.795482018,0.989467733,0.226995756,0.120839728,0.213834155,0.924860115,0.048333152,TRUE
0.240400723,0.947469164,0.794316395,0.0540566,0.210568624,0.168188394,0.888240302,0.927841845,FALSE
0.050097299,0.72577858,0.728276035,0.132181879,0.194067148,0.950838709,0.063897424,0.25973047,TRUE
0.285461025,0.984731753,0.762889392,0.048693117,0.09005709,0.721337362,0.139734636,0.704410239,FALSE
0.193634194,0.749387561,0.995880646,0.012200766,0.245023487,0.795772372,0.935119044,0.205396868,FALSE
0.006097033,0.768973588,0.752223494,0.082040618,0.279204133,0.932930083,0.820637067,0.846162518,TRUE
0.082554675,0.800709629,0.937537514,0.232887387,0.798533234,0.01569637,0.033173404,0.233376801,TRUE
0.169270235,0.770261468,0.943642118,0.235998729,0.887245936,0.280886403,0.054339893,0.990197674,FALSE
0.252410651,0.992367392,0.902102781,0.045184596,0.920311343,0.243271144,0.751769641,0.290805606,FALSE
0.056295022,0.878950268,0.944114568,0.10765742,0.736823211,0.145746949,0.980486673,0.83883987,TRUE
0.198266474,0.921640499,0.767388961,0.070351591,0.887554764,0.857063772,0.251232984,0.155875907,FALSE
0.272722745,0.968585302,0.850324425,0.190049549,0.95312758,0.980324094,0.109708427,0.788799314,TRUE
0.13432272,0.73942914,0.783253508,0.274181795,0.80540636,0.847014355,0.875166659,0.110667649,TRUE
0.23487623,0.892911345,0.801778087,0.283912516,0.818514944,0.972085576,0.91718319,0.887853262,FALSE
0.020165763,0.808132336,0.777022904,0.744698437,0.276871275,0.047922113,0.285966625,0.141797554,TRUE
0.174574749,0.771544532,0.909117601,0.809251578,0.16822498,0.269578143,0.164416228,0.748313814,FALSE
0.141198039,0.750412617,0.973653896,0.971260167,0.024567351,0.176299634,0.790911084,0.020613405,FALSE
0.046858047,0.95033249,0.88107105,0.729405885,0.026897187,0.106250686,0.891438353,0.817007559,TRUE
0.094816963,0.700798363,0.767141229,0.803388426,0.198245053,0.765896917,0.298999481,0.251032583,FALSE
0.184855204,0.913152349,0.835024293,0.882123832,0.231646371,0.791371065,0.031327648,0.85211497,TRUE
0.060553267,0.926946577,0.88224936,0.719212999,0.180668493,0.767600337,0.995751954,0.194953587,TRUE
0.270315111,0.99030386,0.740811306,0.761585105,0.028244771,0.939151671,0.87263929,0.771051058,FALSE
0.256785045,0.944228386,0.824168216,0.914298112,0.828683948,0.021283248,0.200720982,0.005773852,FALSE
0.239586963,0.92323119,0.905375913,0.907486286,0.735328507,0.299432778,0.235994289,0.80272938,TRUE
0.104609411,0.739501263,0.8616194,0.705076896,0.760212027,0.139418213,0.773057831,0.217279545,TRUE
0.144035564,0.706879073,0.879559681,0.825449968,0.994097924,0.177584858,0.991370034,0.840460059,FALSE
0.05438502,0.917116371,0.71291941,0.978737666,0.90537096,0.750131306,0.190978472,0.032035922,TRUE
0.261836591,0.971029999,0.874007665,0.859971835,0.850411841,0.819534035,0.119720918,0.851151153,FALSE
0.145070726,0.969010969,0.839082722,0.944739657,0.894083176,0.804823617,0.906474239,0.082974348,FALSE
0.194845005,0.926064575,0.876408311,0.92325703,0.909625604,0.995407835,0.731705022,0.969522895,TRUE
0.710492797,0.165885894,0.197757611,0.167360089,0.038058998,0.277336454,0.239756774,0.099114003,TRUE
0.951449644,0.201633008,0.158624112,0.242646589,0.218107473,0.037849232,0.016806761,0.96187254,FALSE
0.888184973,0.128575403,0.275927387,0.258470951,0.225246284,0.122333618,0.774109568,0.184543601,FALSE
0.815115492,0.181736756,0.072553606,0.061218321,0.216074207,0.003320735,0.986967809,0.804042621,TRUE
0.731871135,0.293209147,0.151746694,0.112502562,0.201063011,0.898731727,0.026614649,0.130782971,FALSE
0.769743926,0.203446705,0.17489418,0.110820377,0.036798554,0.726610465,0.255961043,0.863406843,TRUE
0.765246786,0.248947603,0.122434411,0.200162357,0.020137816,0.868698692,0.938535076,0.08357349,TRUE
0.839093076,0.180839185,0.129335525,0.262823832,0.010397289,0.74612139,0.885331803,0.952315431,FALSE
0.855268271,0.022072784,0.210153766,0.086357415,0.949240467,0.294201523,0.013817424,0.186245991,FALSE
0.976419697,0.150639318,0.223944726,0.206458589,0.847233025,0.082850904,0.236736265,0.714576056,TRUE
0.840908994,0.191783302,0.232659968,0.152994489,0.874597613,0.020072477,0.780982899,0.231366023,TRUE
0.892109449,0.181843628,0.143566508,0.030294237,0.756988486,0.100072302,0.724689603,0.814531112,FALSE
0.741471664,0.024738805,0.064568603,0.175579986,0.817630658,0.94308561,0.179046197,0.124824255,TRUE
0.841430357,0.203397588,0.099781738,0.279795696,0.816469233,0.828783071,0.153561846,0.823598997,FALSE
0.874573876,0.031611445,0.271638166,0.031249669,0.707372542,0.737605886,0.754860809,0.044610481,FALSE
0.924607645,0.025813952,0.280233079,0.205110478,0.944578591,0.782904735,0.986216316,0.899321352,TRUE
0.804790739,0.113805651,0.046969273,0.993840789,0.15545237,0.148469981,0.235425621,0.248628754,FALSE
0.875699852,0.152893389,0.297119782,0.87118989,0.212599936,0.153375037,0.109847363,0.905787595,TRUE
0.789713226,0.102776431,0.259087803,0.734462661,0.193984934,0.276677251,0.91608854,0.208326982,TRUE
0.934488267,0.034988971,0.092529529,0.999843153,0.057585837,0.062578568,0.918753003,0.951820161,FALSE
0.724160895,0.141913617,0.163566938,0.777334397,0.153025775,0.846341824,0.026333208,0.141901176,TRUE
0.850132821,0.087371863,0.052589377,0.779770358,0.117847867,0.87257255,0.017520431,0.941966859,FALSE
0.952757704,0.212221333,0.068066105,0.959712759,0.153779854,0.791448778,0.969086424,0.239091293,FALSE
0.976038986,0.282858933,0.069637385,0.883155668,0.001489183,0.917677723,0.893550008,0.942005844,TRUE
0.750174274,0.106415195,0.259708259,0.938198905,0.95142007,0.282299213,0.287554193,0.179896749,TRUE
0.895612278,0.278591281,0.030165764,0.850677256,0.902006781,0.059338862,0.208434929,0.926291646,FALSE
0.959604595,0.048225523,0.237620649,0.823463598,0.92169738,0.040346527,0.819875481,0.159186577,FALSE
0.970709323,0.281641195,0.152596814,0.724337295,0.941571507,0.125911946,0.818271527,0.768067625,TRUE
0.826866152,0.278902982,0.059005831,0.969153822,0.9860209,0.838917011,0.247589766,0.257111856,FALSE
0.753455621,0.026200973,0.242950397,0.769178039,0.753695463,0.713469268,0.2304087,0.894095921,TRUE
0.706355911,0.197070387,0.039139618,0.967305852,0.763178972,0.712119153,0.850966056,0.276052717,TRUE
0.73879025,0.066199483,0.171935622,0.758510533,0.714325275,0.766614279,0.961110896,0.956434514,FALSE
0.99377779,0.258077987,0.918970011,0.005968762,0.162842916,0.278904085,0.121578101,0.058002674,FALSE
0.820303042,0.299882134,0.728996383,0.257586457,0.07948151,0.142355603,0.114354013,0.944599327,TRUE
0.955141669,0.061893939,0.886037546,0.079865265,0.037218508,0.288641053,0.895645875,0.129434595,TRUE
0.882655026,0.094713275,0.838143008,0.043848917,0.162838286,0.089879606,0.702893336,0.70646985,FALSE
0.758628344,0.119286501,0.706844137,0.240459291,0.275619602,0.93070835,0.154778932,0.1576728,TRUE
0.73988007,0.167065258,0.889695631,0.198391236,0.182221335,0.798662983,0.178486674,0.885578862,FALSE
0.963537295,0.259654372,0.705644717,0.168231205,0.055325221,0.828862141,0.973428936,0.125095085,FALSE
0.861774443,0.091995587,0.761043102,0.116312204,0.207666237,0.911129541,0.952233424,0.839539356,TRUE
0.836433153,0.121761646,0.816156942,0.025310879,0.996436156,0.097158182,0.052811148,0.23180094,TRUE
0.94458661,0.15817703,0.751363012,0.262626924,0.8184195,0.256740433,0.116048239,0.777365797,FALSE
0.872013442,0.176254248,0.794234953,0.006573326,0.882815811,0.072500964,0.870659866,0.041852657,FALSE
0.888329178,0.178229261,0.881797376,0.216379408,0.853249705,0.020803478,0.987243261,0.988604508,TRUE
0.711115264,0.090628601,0.986507313,0.061006225,0.906875052,0.868957508,0.262878082,0.01617258,FALSE
0.747880492,0.143076344,0.890095058,0.177950832,0.917803106,0.789354346,0.263419441,0.747913852,TRUE
0.997936016,0.238750297,0.890012592,0.170573726,0.7830221,0.827588445,0.862787997,0.251244203,TRUE
0.855164042,0.110922111,0.78348584,0.106931597,0.989672564,0.790127645,0.807780898,0.964523836,FALSE
0.782291172,0.043407699,0.720049622,0.963340212,0.149421232,0.128047429,0.219299336,0.205093543,TRUE
0.92792185,0.116008123,0.868701813,0.93469037,0.096950669,0.282542802,0.101362969,0.750604331,FALSE
0.748433954,0.136263373,0.911567196,0.959581219,0.111471758,0.278891263,0.943998424,0.209279165,FALSE
0.961561502,0.143865755,0.734581882,0.914186184,0.063481574,0.296596525,0.985277916,0.856415955,TRUE
0.994243342,0.217361151,0.957778148,0.808428476,0.112119118,0.875985088,0.027064812,0.289172615,FALSE
0.819740912,0.240940271,0.850104109,0.744457426,0.095371728,0.730892177,0.260319233,0.84056255,TRUE
0.988073367,0.244962344,0.922957634,0.955629171,0.203788104,0.827474643,0.897178895,0.216932303,TRUE
0.878954979,0.125841835,0.871830693,0.983434031,0.179601307,0.743093375,0.879783683,0.754444624,FALSE
0.936373212,0.286413431,0.884948861,0.92651681,0.777565311,0.058305523,0.040196514,0.078774093,FALSE
0.902590869,0.285941678,0.719945607,0.951299199,0.77982292,0.271363968,0.163321831,0.779758463,TRUE
0.937756566,0.158693535,0.714445969,0.859325343,0.977371874,0.114067411,0.845157016,0.082487578,TRUE
0.739045232,0.194950969,0.916922067,0.860376254,0.842082673,0.161563669,0.918230351,0.709782755,FALSE
0.993616974,0.251421984,0.785194875,0.887313212,0.79381724,0.936247862,0.166038764,0.209546365,TRUE
0.729913677,0.131285474,0.810024094,0.909614814,0.775791332,0.761176785,0.252929228,0.715684436,FALSE
0.793410273,0.0688781,0.889426651,0.733469873,0.883497394,0.948063022,0.832137136,0.026539221,FALSE
0.94819281,0.065936066,0.837008991,0.852456993,0.992365427,0.967717415,0.717644335,0.761268121,TRUE
0.762983436,0.825222264,0.05398926,0.287880502,0.187195702,0.030302782,0.22041002,0.125481801,FALSE
0.997206871,0.904238665,0.149032498,0.059659124,0.055554371,0.131480958,0.199603971,0.744216382,TRUE
0.718633054,0.861048904,0.105471091,0.207437885,0.089511084,0.021401608,0.88682748,0.222906783,TRUE
0.990729668,0.719777599,0.223656171,0.19107166,0.125897687,0.038704526,0.838129461,0.906755312,FALSE
0.771044777,0.821375547,0.058452909,0.234701515,0.14187514,0.875499034,0.241872674,0.161880423,TRUE
0.878908246,0.888944732,0.046377186,0.046640311,0.245055954,0.858424931,0.251581056,0.914709002,FALSE
0.897821129,0.772896426,0.027932046,0.223198218,0.07236037,0.822576968,0.771834044,0.068452132,FALSE
0.817730035,0.896816527,0.007220562,0.126708845,0.173742319,0.900422363,0.961439986,0.872759347,TRUE
0.863476168,0.769442701,0.061124429,0.009644293,0.940430469,0.124933904,0.092203747,0.001886918,TRUE
0.976304615,0.801315056,0.215200359,0.036164604,0.710808637,0.100962189,0.047821649,0.987959084,FALSE
0.881507522,0.947862827,0.115492926,0.131278051,0.896537211,0.123318962,0.938308933,0.045090349,FALSE
0.801286539,0.758006333,0.178186917,0.258675693,0.769145846,0.020886637,0.722675269,0.915430866,TRUE
0.725189181,0.836566441,0.250023639,0.016738378,0.785348618,0.822218001,0.081216463,0.136337832,FALSE
0.87588434,0.829204958,0.014838804,0.198146693,0.785672138,0.702184047,0.13433544,0.725832645,TRUE
0.854060479,0.711378422,0.212424111,0.125579985,0.984363876,0.772764901,0.719364392,0.046508496,TRUE
0.947297685,0.908963037,0.103160505,0.074417394,0.717475466,0.865635479,0.90006134,0.841932955,FALSE
0.706326374,0.729149811,0.024974865,0.942006623,0.272587722,0.063797456,0.182320537,0.10591844,TRUE
0.742447064,0.791084892,0.186814807,0.821009002,0.003462226,0.221238713,0.003717982,0.908561659,FALSE
0.943666929,0.954750236,0.285702729,0.705842826,0.16232425,0.138412062,0.992131392,0.009278071,FALSE
0.869533734,0.729920852,0.143244641,0.766749551,0.195512147,0.022844706,0.764686412,0.945886572,TRUE
0.837147654,0.952851657,0.105879119,0.90111365,0.265255161,0.89459295,0.11029898,0.076887018,FALSE
0.877390833,0.78563106,0.138813807,0.846402129,0.084519431,0.843582671,0.104114392,0.918286816,TRUE
0.933846996,0.818269705,0.12532019,0.72004679,0.253690135,0.943825929,0.727505019,0.278993756,TRUE
0.979658531,0.715923702,0.173459318,0.706549955,0.075339091,0.830901323,0.881160622,0.82646285,FALSE
0.747071126,0.727601301,0.178305986,0.909950739,0.703435087,0.245951569,0.131841969,0.251377925,FALSE
0.727272576,0.743837814,0.135949196,0.705089447,0.700428827,0.292406063,0.214403288,0.741184911,TRUE
0.779050058,0.806166154,0.067860055,0.7096843,0.914703327,0.051779761,0.766794239,0.288995599,TRUE
0.890470182,0.778837098,0.298534777,0.936190882,0.757979282,0.037441691,0.818568872,0.937790246,FALSE
0.961673853,0.92923632,0.168559621,0.721813655,0.810095061,0.815134448,0.050267006,0.039237964,TRUE
0.956961608,0.955459082,0.057106116,0.808629917,0.718635535,0.968887917,0.062398776,0.859100913,FALSE
0.796852978,0.962599711,0.103826332,0.861667463,0.875966496,0.769606218,0.771517682,0.001208985,FALSE
0.821345874,0.780228096,0.175201914,0.950134682,0.893890326,0.960770433,0.942576481,0.741309771,TRUE
0.780187446,0.834979407,0.742624542,0.046174566,0.139348524,0.058928356,0.183601253,0.137651709,TRUE
0.934942863,0.833031264,0.801675588,0.028280389,0.200400737,0.096134113,0.189446608,0.730713882,FALSE
0.813083383,0.926249142,0.705789347,0.103720777,0.063449998,0.124945968,0.98383057,0.280230995,FALSE
0.850052823,0.71263502,0.72479139,0.119753113,0.008257308,0.256497914,0.94126636,0.801427865,TRUE
0.728625011,0.706130549,0.805175101,0.035170779,0.185751255,0.917127107,0.136648691,0.069379736,FALSE
0.762342224,0.90571917,0.700862855,0.219582728,0.053602579,0.779637778,0.217693874,0.902585644,TRUE
0.729586456,0.813261237,0.959347842,0.24436982,0.20152055,0.742004526,0.906170228,0.138951126,TRUE
0.953037931,0.819751638,0.813964574,0.202917134,0.105027765,0.706676635,0.922956883,0.789608666,FALSE
0.865692964,0.799992799,0.715963355,0.110001444,0.888730673,0.099089965,0.254808663,0.152294642,FALSE
0.738865541,0.889672025,0.706536215,0.08806935,0.728868998,0.119169318,0.102080339,0.729978477,TRUE
0.732399724,0.816926394,0.970218246,0.231590399,0.744877835,0.270844412,0.924271312,0.141016765,TRUE
0.970729737,0.712506295,0.741039371,0.152097542,0.825976143,0.108193699,0.792404601,0.705248016,FALSE
0.760715914,0.857638252,0.733915184,0.095427873,0.817945243,0.765706208,0.115301414,0.142005755,TRUE
0.954608577,0.783715009,0.703543701,0.228754458,0.792795599,0.702999797,0.249104375,0.920062906,FALSE
0.765330053,0.758572397,0.85970133,0.098733487,0.840373631,0.988668708,0.760985871,0.161405122,FALSE
0.75976571,0.755935117,0.83487077,0.006291041,0.777083877,0.949322639,0.972260352,0.854569666,TRUE
0.920995362,0.954981385,0.889844163,0.8040235,0.234183401,0.029716061,0.04315184,0.06921102,FALSE
0.991203739,0.772686776,0.860684906,0.778914121,0.232844304,0.089430797,0.034772189,0.760173795,TRUE
0.981744302,0.939800598,0.771284212,0.810749898,0.294250219,0.296473247,0.796832461,0.272252634,TRUE
0.713048448,0.873655773,0.706388647,0.726288461,0.168223717,0.149068857,0.983526755,0.957430939,FALSE
0.761439288,0.919494996,0.739165526,0.710611407,0.079624841,0.900616429,0.13765039,0.297002193,TRUE
0.722068872,0.931458454,0.728325355,0.836565434,0.123970735,0.859478878,0.285776077,0.808375067,FALSE
0.917721506,0.892086835,0.906421118,0.821219742,0.1800158,0.939898361,0.959732989,0.092682919,FALSE
0.759438337,0.870902672,0.785790112,0.883235069,0.009272829,0.975423861,0.774684936,0.8825892,TRUE
0.947232783,0.723207721,0.862230463,0.807588885,0.946238631,0.036890094,0.239401374,0.17883612,TRUE
0.891945005,0.892345022,0.967353783,0.717454308,0.982060318,0.082024371,0.091458927,0.932120293,FALSE
0.861106129,0.770053032,0.897587356,0.929114054,0.877687392,0.11236144,0.901219092,0.1396982,FALSE
0.757357788,0.944844471,0.752414075,0.919819511,0.867642895,0.041806601,0.881186706,0.772061157,TRUE
0.891246393,0.919726949,0.829180098,0.742211893,0.764178745,0.838825591,0.044589796,0.044336244,FALSE
0.843137361,0.981269533,0.878706896,0.856292023,0.742319194,0.881862758,0.128677588,0.739832017,TRUE
0.965111857,0.755628596,0.749937298,0.747555447,0.915562389,0.937024257,0.803488536,0.28760043,TRUE
0.887118822,0.848576657,0.729401528,0.78969845,0.816079277,0.886478438,0.985473384,0.952120549,FALSE
